page,sl_no,ministry,sector,project_name,agency,project_code,legacy_ocms_code,pmgid,state,date_of_approval,start_date,original_target_doc,revised_doc,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_pct
55,1,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],612786,-,-,Andhra Pradesh,03/2023,01/2024,01/2026,09/2026,265.91,265.91,176.38,80.0
55,2,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],701107,-,-,Andhra Pradesh,06/2020,09/2020,09/2022,11/2026,611.8,824.28,572.99,89.7
55,3,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],701121,-,-,Andhra Pradesh,12/2022,08/2023,08/2025,08/2026,347.15,347.15,189.48,96.0
55,4,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,706724,-,-,Assam,12/2016,03/2018,03/2025,06/2026,1712.0,2520.0,2670.23,99.5
55,5,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],612183,-,-,Bihar,08/2024,04/2025,03/2027,-,1413.0,1413.0,15.53,4.15
55,6,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],612194,-,-,Bihar,07/2024,07/2024,07/2026,11/2026,911.66,911.66,426.22,71.1
55,7,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],701101,-,-,Bihar,10/2018,10/2018,05/2026,08/2026,1216.9,1216.9,1203.48,99.26
55,8,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Development of Keshod Airport.,Airport Authority of India [AAI],619054,-,-,Gujarat,01/2024,07/2025,01/2027,-,363.1,363.1,108.64,46.69
55,9,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],701126,-,-,Gujarat,06/2022,07/2022,06/2026,09/2026,1305.0,1551.0,966.36,88.0
55,10,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],611047,-,-,"Jammu and
Kashmir",10/2023,12/2023,06/2026,11/2026,861.37,861.37,370.44,58.35
