project_id,snapshot_id,project_name,sector,ministry,implementing_agency,state,contract_type,terrain_type,original_cost_cr,revised_cost_cr,expenditure_cr,physical_progress_pct,financial_progress_pct,original_start_date,original_completion_date,revised_completion_date,as_of_date,actual_completion_date,final_cost_cr,target_delay_months,target_is_delayed,target_cost_overrun_pct,target_is_cost_overrun
PRJ-SYN-0001,SNAP-PRJ-SYN-0001-Q1,Punjab Express Highway Corridor Phase I,Highways,Ministry of Road Transport and Highways (MoRTH),State PWD (Highways),Punjab,HAM,Hilly/Mountainous,727.24,864.84,459.84,49.35,53.17,2019-03-24,2021-08-22,2022-10-23,2021-02-27,2023-05-29,956.1,21.2,1,31.47,1
PRJ-SYN-0001,SNAP-PRJ-SYN-0001-Q2,Punjab Express Highway Corridor Phase I,Highways,Ministry of Road Transport and Highways (MoRTH),State PWD (Highways),Punjab,HAM,Hilly/Mountainous,727.24,876.49,589.88,62.39,67.3,2019-03-24,2021-08-22,2022-12-08,2021-05-26,2023-05-29,956.1,21.2,1,31.47,1
PRJ-SYN-0002,SNAP-PRJ-SYN-0002-Q1,Assam Station Redevelopment & Quadrupling,Railways,Ministry of Railways (MoR),Dedicated Freight Corridor Corp (DFCCIL),Assam,EPC,Plains,993.45,993.45,212.2,18.2,21.36,2019-04-17,2022-08-16,2022-10-23,2019-12-16,2022-09-27,997.13,1.4,0,0.37,0
PRJ-SYN-0002,SNAP-PRJ-SYN-0002-Q2,Assam Station Redevelopment & Quadrupling,Railways,Ministry of Railways (MoR),Dedicated Freight Corridor Corp (DFCCIL),Assam,EPC,Plains,993.45,993.45,312.24,34.12,31.43,2019-04-17,2022-08-16,2022-08-16,2020-06-16,2022-09-27,997.13,1.4,0,0.37,0
PRJ-SYN-0002,SNAP-PRJ-SYN-0002-Q3,Assam Station Redevelopment & Quadrupling,Railways,Ministry of Railways (MoR),Dedicated Freight Corridor Corp (DFCCIL),Assam,EPC,Plains,993.45,993.45,475.66,46.2,47.88,2019-04-17,2022-08-16,2022-08-16,2020-12-15,2022-09-27,997.13,1.4,0,0.37,0
PRJ-SYN-0002,SNAP-PRJ-SYN-0002-Q4,Assam Station Redevelopment & Quadrupling,Railways,Ministry of Railways (MoR),Dedicated Freight Corridor Corp (DFCCIL),Assam,EPC,Plains,993.45,993.45,884.27,83.28,89.01,2019-04-17,2022-08-16,2022-08-16,2021-12-16,2022-09-27,997.13,1.4,0,0.37,0
PRJ-SYN-0003,SNAP-PRJ-SYN-0003-Q1,Deep Draft Container Terminal Berth 85,Ports & Shipping,"Ministry of Ports, Shipping and Waterways (MoPSW)",V.O. Chidambaranar Port,Rajasthan,BOT,Plains,442.63,455.42,147.97,22.47,32.49,2018-03-23,2020-07-22,2020-07-22,2019-01-15,2021-02-01,493.44,6.4,1,11.48,1
PRJ-SYN-0003,SNAP-PRJ-SYN-0003-Q2,Deep Draft Container Terminal Berth 85,Ports & Shipping,"Ministry of Ports, Shipping and Waterways (MoPSW)",V.O. Chidambaranar Port,Rajasthan,BOT,Plains,442.63,462.39,209.23,41.26,45.25,2018-03-23,2020-07-22,2020-07-22,2019-05-23,2021-02-01,493.44,6.4,1,11.48,1
PRJ-SYN-0003,SNAP-PRJ-SYN-0003-Q3,Deep Draft Container Terminal Berth 85,Ports & Shipping,"Ministry of Ports, Shipping and Waterways (MoPSW)",V.O. Chidambaranar Port,Rajasthan,BOT,Plains,442.63,475.35,410.13,83.54,86.28,2018-03-23,2020-07-22,2020-07-22,2020-04-28,2021-02-01,493.44,6.4,1,11.48,1
PRJ-SYN-0004,SNAP-PRJ-SYN-0004-Q1,Karnataka Metro Corridor Elevated Extension Phase I,Metro Rail,Ministry of Housing and Urban Affairs (MoHUA),Bangalore Metro Rail Corp (BMRCL),Karnataka,EPC,Plains,7746.51,7746.51,818.81,12.49,10.57,2018-06-28,2025-07-28,2025-07-28,2019-11-27,2027-08-15,8487.08,24.6,1,9.56,0
PRJ-SYN-0004,SNAP-PRJ-SYN-0004-Q2,Karnataka Metro Corridor Elevated Extension Phase I,Metro Rail,Ministry of Housing and Urban Affairs (MoHUA),Bangalore Metro Rail Corp (BMRCL),Karnataka,EPC,Plains,7746.51,7746.51,3435.58,42.91,44.35,2018-06-28,2025-07-28,2026-02-28,2022-01-11,2027-08-15,8487.08,24.6,1,9.56,0
PRJ-SYN-0004,SNAP-PRJ-SYN-0004-Q3,Karnataka Metro Corridor Elevated Extension Phase I,Metro Rail,Ministry of Housing and Urban Affairs (MoHUA),Bangalore Metro Rail Corp (BMRCL),Karnataka,EPC,Plains,7746.51,8021.17,5407.07,69.44,67.41,2018-06-28,2025-07-28,2026-12-28,2024-02-26,2027-08-15,8487.08,24.6,1,9.56,0
PRJ-SYN-0005,SNAP-PRJ-SYN-0005-Q1,Liquid Cargo Jetty & Breakwater Expansion,Ports & Shipping,"Ministry of Ports, Shipping and Waterways (MoPSW)",V.O. Chidambaranar Port,Gujarat,EPC,Urban Dense,519.68,519.68,179.03,35.77,34.45,2022-05-27,2024-04-26,2024-04-26,2023-01-27,2024-05-08,557.56,0.4,0,7.29,0
PRJ-SYN-0005,SNAP-PRJ-SYN-0005-Q2,Liquid Cargo Jetty & Breakwater Expansion,Ports & Shipping,"Ministry of Ports, Shipping and Waterways (MoPSW)",V.O. Chidambaranar Port,Gujarat,EPC,Urban Dense,519.68,519.68,286.92,50.94,55.21,2022-05-27,2024-04-26,2024-04-26,2023-05-12,2024-05-08,557.56,0.4,0,7.29,0
PRJ-SYN-0005,SNAP-PRJ-SYN-0005-Q3,Liquid Cargo Jetty & Breakwater Expansion,Ports & Shipping,"Ministry of Ports, Shipping and Waterways (MoPSW)",V.O. Chidambaranar Port,Gujarat,EPC,Urban Dense,519.68,519.68,416.11,79.23,80.07,2022-05-27,2024-04-26,2024-04-26,2023-12-08,2024-05-08,557.56,0.4,0,7.29,0
