report_month,ministry,sector,project_count,original_cost,revised_cost,expenditure
August_2025,Department for Promotion of Industry & Internal Trade,Real Estate,2,3841.25,3841.25,494.3
August_2025,Department of Higher Education,Education,30,12754.41,12685.5,8159.38
August_2025,Department of Telecommunications,Telecommunication,14,150849.85,272942,72122.5
August_2025,"Department of Water Resources, River Development & GR",Waste & Water,8,4039.12,4039.12,1643.05
August_2025,4039.12 4039.12 1643.05,Water Resources,40,93248.95,195108,138397
August_2025,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,23049.84,23511,24879.8
August_2025,Ministry of Coal,Coal,117,166806.82,164263,53439.3
August_2025,53439.3,Electricity Generation,5,46865.63,51408.8,23562.4
August_2025,46865.63 51408.8 23562.4,Railways,2,3485.86,3485.86,1641.67
August_2025,Ministry of Health & Family Welfare,Healthcare,3,4155,4492.95,2694.22
August_2025,Ministry of Housing & Urban Affairs,Construction,1,646.53,646.52,533.12
August_2025,646.53 646.52 533.12,Inland Waterways,1,63246,63246,26410.2
August_2025,26410.2,Real Estate,4,33749.85,33749.8,58.58
August_2025,33749.85 33749.8 58.58,Urban Public Transport,21,223016.77,243598,159570
August_2025,Ministry of Mines,Construction,1,255.37,255.37,79.34
August_2025,255.37 255.37 79.34,Metals & Mining,9,12736.35,15116.5,6124.59
August_2025,Ministry of Petroleum & Natural Gas,Energy Storage,16,81301.48,120185,90497.5
August_2025,90497.5,Oil & Gas,90,351248.78,383480,184032
August_2025,"Ministry of Ports, Shipping and Waterways",Healthcare,1,693,693,58
August_2025,9612.82 9304.79 3876.92,Shipping,5,4823.34,4823.34,2020.93
August_2025,4823.34 4823.34 2020.93,"Tourism, Hospitality & Wellness",1,573,1238.05,496.63
August_2025,Ministry of Power,Coal,2,2083,2365,910.82
August_2025,910.82,Electricity Generation,30,223418.07,278228,132370
August_2025,Ministry of Railways,Railways,263,691320.92,837521,524256
August_2025,Ministry of Steel,Metals & Mining,1,1700,1756.2,65.44
August_2025,1756.2 65.44,Steel,19,16748.25,19986.5,7969.76
July_2025,Department for Promotion of Industry & Internal Trade,Real Estate,2,3841.25,3841.25,422.99
July_2025,3841.25 3841.25 422.99,"Tourism, Hospitality & Wellness",1,5178,5401,4470
July_2025,Department of Higher Education,Education,30,12754.41,12685.5,8277.36
July_2025,Department of Telecommunications,Telecommunication,15,151089.45,273182,71833.2
July_2025,"Department of Water Resources, River Development & GR",Waste & Water,8,4039.12,4039.12,1590.56
July_2025,4039.12 4039.12 1590.56,Water Resources,45,97037.25,215274,143186
July_2025,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,27,23265.01,23726.2,5883.97
July_2025,Ministry of Coal,Coal,118,169952.27,170585,52990.5
July_2025,52990.5,Electricity Generation,5,46865.63,51408.8,23308.2
July_2025,46865.63 51408.8 23308.2,Railways,2,3485.86,3485.86,1636.67
July_2025,Ministry of Health & Family Welfare,Healthcare,3,4155,4492.95,2646.56
July_2025,Ministry of Housing & Urban Affairs,Construction,1,646.53,646.52,518.46
July_2025,646.53 646.52 518.46,Inland Waterways,1,63246,63246,47162.7
July_2025,47162.7,Real Estate,10,44555.17,44555.2,6303.55
July_2025,44555.17 44555.2 6303.55,Urban Public Transport,21,223016.77,230264,157669
July_2025,Ministry of Mines,Construction,1,255.37,255.37,78.34
July_2025,255.37 255.37 78.34,Metals & Mining,9,12736.35,15116.5,6040.77
July_2025,Ministry of Petroleum & Natural Gas,Energy Storage,17,82155.48,114517,90143.8
July_2025,90143.8,Oil & Gas,93,353990.1,385767,186037
July_2025,"Ministry of Ports, Shipping and Waterways",Healthcare,1,693,693,58
July_2025,9612.82 9304.79 3778.54,Shipping,5,4823.34,4823.34,1812.05
July_2025,4823.34 4823.34 1812.05,"Tourism, Hospitality & Wellness",1,573,1238.05,487.35
July_2025,Ministry of Power,Coal,2,2083,2365,901.38
July_2025,901.38,Electricity Generation,31,224064.24,273137,129610
July_2025,Ministry of Railways,Inland Waterways,3,4265,5184,2178.18
July_2025,2178.18,Railways,252,673330.1,809778,503708
July_2025,252.45,Urban Public Transport,1,2298,2734,393
July_2025,Ministry of Steel,Metals & Mining,1,1700,1756.2,65.44
July_2025,1756.2 65.44,Steel,19,16748.25,19986.5,7759.53
February_2026,Department for Promotion of Industry & Internal Trade,Logistics Infrastructure,1,763,763,430
February_2026,Department of Higher Education,Education,29,14711.41,14454,7931.02
February_2026,Department of Sports,Education,1,906.47,611.74,571.72
February_2026,906.47 611.74 571.72,Total,1,906.47,571.72,4
February_2026,Department of Telecommunications,Telecommunication,14,151923.46,274016,77298.1
February_2026,"Department of Water Resources, River Development & GR",Waste & Water,8,4039.12,4039.12,1643.05
February_2026,4039.12 4039.12 1643.05,Water Resources,41,117826.11,221647,157621
February_2026,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,26,21600.76,22814.8,10079.9
February_2026,Ministry of Coal,Coal,118,188169.37,185625,47927.5
February_2026,47927.5,Electricity Generation,8,51903.57,56446.7,27917.9
February_2026,51903.57 56446.7 27917.9,Railways,2,3485.86,5002.87,2225.07
February_2026,Ministry of Health & Family Welfare,Healthcare,23,17252.19,21471,8026.18
February_2026,Ministry of Housing & Urban Affairs,Construction,1,644,644,136.51
