project_id,project_name,sector,state,implementing_agency,planned_start_date,planned_completion_date,actual_start_date,approved_cost,revised_cost,current_status,report_month,physical_progress,planned_progress,financial_progress,expenditure,monthly_expenditure,contractor_status,milestones_completed,milestones_total,milestones_overdue
612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",,Andhra Pradesh,Airport Authority of India [AAI],01/2024,01/2026,,265.91,265.91,Ongoing,August_2025,34,,18.83,50.06,,,,,
701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,,Andhra Pradesh,Airport Authority of India [AAI],09/2020,09/2022,,611.8,611.8,Ongoing,August_2025,79,,77.36,473.27,,,,,
701121,Construction of New  Domestic Terminal Building  at Rajahmundry Airport.,,Andhra Pradesh,Airport Authority of India [AAI],08/2023,08/2025,,347.15,347.15,Ongoing,August_2025,51,,26.09,90.56,,,,,
706724,Guwahati Airport New Integrated Terminal Building Construction Project,,Assam,Adani Airport Holdings Limited,03/2018,03/2025,,1712,1712,Ongoing,August_2025,91,,136.42,2335.44,,,,,
612183,Development of New Civil Enclave at Bihta,,Bihar,Airport Authority of India [AAI],03/2025,09/2027,,1413,1413,Ongoing,August_2025,1,,0.0,0,,,,,
612194,Development of New Civil Enclave and associated works at Darbhanga Airport,,Bihar,Airport Authority of India [AAI],07/2024,01/2026,,911.66,911.66,Ongoing,August_2025,26,,17.57,160.2,,,,,
701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",,Bihar,Airport Authority of India [AAI],10/2018,07/2023,,1216.9,1216.9,Ongoing,August_2025,94,,90.11,1096.51,,,,,
701105,Goa Airport Terminal Building Extension Project,,Goa,Airport Authority of India [AAI],12/2019,12/2021,,255.69,255.69,Ongoing,August_2025,90,,50.84,130,,,,,
701126,"Development of Dholera International Greenfield Airport , Gujarat",,Gujarat,Airport Authority of India [AAI],07/2022,06/2026,,1305,1551,Ongoing,August_2025,64,,86.96,1348.78,,,,,
611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",,Jammu and Kashmir,Airport Authority of India [AAI],07/2023,06/2026,,861.37,861.37,Ongoing,August_2025,35,,20.63,177.69,,,,,
612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,,Karnataka,Airport Authority of India [AAI],01/2024,01/2026,,320.47,320.47,Ongoing,August_2025,38,,19.28,61.79,,,,,
612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,,Karnataka,Airport Authority of India [AAI],02/2024,01/2026,,322.45,322.45,Ongoing,August_2025,52,,37.75,121.72,,,,,
612789,"Development of additional RESA on either end on Runway 10-28  at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",,Kerala,Airport Authority of India [AAI],02/2024,09/2025,,484.57,484.57,Ongoing,August_2025,21,,17.32,83.95,,,,,
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",,Ladakh,Airport Authority of India [AAI],09/2018,09/2021,,480,640,Ongoing,August_2025,71,,67.94,434.79,,,,,
706718,C/o NITB Imphal Airport,,Manipur,Airport Authority of India [AAI],07/2022,07/2024,,499,499,Ongoing,August_2025,41,,30.95,154.43,,,,,
611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",,"Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",Airport Authority of India [AAI],10/2022,09/2025,,500.48,500.48,Ongoing,August_2025,75,,66.39,332.26,,,,,
701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,,Rajasthan,Airport Authority of India [AAI],04/2023,11/2024,,480,480,Ongoing,August_2025,84,,58.69,281.72,,,,,
701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,,Rajasthan,Airport Authority of India [AAI],11/2022,03/2026,,887,887,Ongoing,August_2025,49,,39.78,352.82,,,,,
612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",,Sikkim,Airport Authority of India [AAI],12/2023,02/2026,,323.26,323.26,Ongoing,August_2025,12,,9.19,29.7,,,,,
611602,"Modernization of Chennai Airport, Phase II, Part 2",,Tamil Nadu,Airport Authority of India [AAI],06/2023,07/2025,,1207,1207,Ongoing,August_2025,22,,12.36,149.21,,,,,
612063,"Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion, and associated works at Prayagraj Airport- On Design & Build Basis.",,Uttar Pradesh,Airport Authority of India [AAI],08/2023,11/2024,,219.18,274.38,Ongoing,August_2025,100,,78.43,215.19,,,,,
701091,Lucknow Airport-Terminal 3- Phase 1 & Other Associated Works,,Uttar Pradesh,Adani Airport Holdings Limited,09/2018,03/2026,,3100,3100,Ongoing,August_2025,100,,516.92,16024.42,,,,,
701113,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",,Uttar Pradesh,Airport Authority of India [AAI],07/2024,07/2027,,2869.65,2869.65,Ongoing,August_2025,16,,11.26,322.98,,,,,
701122,Development of New Integrated Civil Enclave at Agra Airport,,Uttar Pradesh,Airport Authority of India [AAI],07/2024,07/2026,,579,579,Ongoing,August_2025,16,,13.28,76.88,,,,,
611495,Development of New Civil Enclave at Bagdogra Airport,,West Bengal,Airport Authority of India [AAI],10/2023,01/2027,,1549,1549,Ongoing,August_2025,11,,17.7,274.14,,,,,
612791,"Re-Construction of Rigid portions of Secondary Runway, K and  A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",,West Bengal,Airport Authority of India [AAI],12/2023,02/2025,,328.3,328.3,Ongoing,August_2025,45,,30.84,101.26,,,,,
615820,TIKAK EXTENSION OCP,,Assam,MIS MoCoal Integration Logins,07/2022,07/2031,,159.77,159.77,Ongoing,August_2025,0,,50.6,80.84,,,,,
615821,TIRAP OCP,,Assam,MIS MoCoal Integration Logins,11/2022,11/2030,,289.46,289.46,Ongoing,August_2025,0,,36.44,105.47,,,,,
400144,PORDA CHIMTAPANI OCP [10 MTY],,Chhattisgarh,South Eastern Coalfields Limited [SECL],12/2020,03/2029,,2310.12,2310.12,Ongoing,August_2025,10,,3.62,83.66,,,,,
400145,CHHAL OC SEAM III [6 MTY],,Chhattisgarh,South Eastern Coalfields Limited [SECL],12/2013,03/2022,,610.63,610.63,Ongoing,August_2025,85,,94.57,577.46,,,,,
400147,KUSMUNDA OC EXPANSION [15 TO 50 MTY],,Chhattisgarh,South Eastern Coalfields Limited [SECL],08/2013,03/2023,,7612.33,7612.33,Ongoing,August_2025,81,,61.72,4697.95,,,,,
400149,BAROUD OC EXPANSION [3.0-10.0M,,Chhattisgarh,South Eastern Coalfields Limited [SECL],08/2020,03/2029,,2309.8,2309.8,Ongoing,August_2025,48,,40.09,926.11,,,,,
400354,DIPKA EXPANSION OCP [40 MTY],,Chhattisgarh,South Eastern Coalfields Limited [SECL],12/2020,03/2029,,5241.4,5241.4,Ongoing,August_2025,37,,53.99,2830.01,,,,,
400424,GEVRA OC [70 MTY],,Chhattisgarh,South Eastern Coalfields Limited [SECL],03/2016,03/2023,,11816.4,11816.4,Ongoing,August_2025,77,,45.1,5328.96,,,,,
