report_month,state,ministry,sector,project_count,original_cost,revised_cost,expenditure
August_2025,Offshore,Ministry of Petroleum & Natural Gas,Oil & Gas,6,19714.58,22972.8,10210.97
August_2025,Offshore,Ministry of Railways,Railways,2,1311.83,1311.83,583.6
August_2025,PAN India,Department of Telecommunications,Telecommunication,6,141891.67,264213.0,69165.67
August_2025,Andaman & Nicobar,Ministry of Housing & Urban Affairs,Real Estate,1,209.88,209.88,0.0
August_2025,Andhra Pradesh,Department for Promotion of Industry & Internal Trade,Real Estate,1,2139.44,2139.44,406.05
August_2025,Andhra Pradesh,Department of Higher Education,Education,1,305.0,305.0,83.33
August_2025,Andhra Pradesh,Department of Telecommunications,Telecommunication,2,5262.57,5262.57,1699.75
August_2025,Andhra Pradesh,"Department of Water Resources, River Development & GR",Water Resources,3,10901.5,57269.5,25827.76
August_2025,Andhra Pradesh,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,3,1224.86,1224.86,613.89
August_2025,Andhra Pradesh,Ministry of Housing & Urban Affairs,Waste & Water,1,172.22,172.22,622.02
August_2025,Andhra Pradesh,Ministry of Petroleum & Natural Gas,Energy Storage,2,2898.34,3050.0,2242.8
August_2025,Andhra Pradesh,2242.80,Oil & Gas,5,37997.0,38057.0,33498.29
August_2025,Andhra Pradesh,Ministry of Power,Transmission & Distribution,5,13395.24,13395.2,4512.61
August_2025,Andhra Pradesh,Ministry of Railways,Railways,28,56255.53,63480.7,32347.6
August_2025,Arunachal Pradesh,Department of Higher Education,Education,1,592.61,592.61,549.96
August_2025,Arunachal Pradesh,Department of Telecommunications,Telecommunication,1,1255.49,1255.49,284.04
August_2025,Arunachal Pradesh,Ministry of Petroleum & Natural Gas,Energy Storage,1,43129.0,79459.0,60295.14
August_2025,Arunachal Pradesh,60295.14,Oil & Gas,1,9265.0,9265.0,6393.85
August_2025,Arunachal Pradesh,Ministry of Power,Electricity Generation,4,41850.64,61640.8,28586.95
August_2025,Arunachal Pradesh,28586.95,Transmission & Distribution,1,4754.42,9129.32,7462.2
