project_id,project_name,sector,state,implementing_agency,planned_start_date,planned_completion_date,actual_start_date,approved_cost,revised_cost,current_status,report_month,physical_progress,planned_progress,financial_progress,expenditure,monthly_expenditure,contractor_status,milestones_completed,milestones_total,milestones_overdue,planned_duration_months,report_date,expenditure_ratio,snapshot_id
108000,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra) 09/2017 08/2027 12/2029",,78690.89,108000,,,,705793.0,,Ongoing,July_2025,,,,,,,,,,,2025-07-01,,108000_July_2025
108000,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra) 03/2015 (09/2017) 08/2027 (12/2029)",,79918.89,108000,,,,705793.0,,Ongoing,August_2025,,,,,,,,,,,2025-08-01,,108000_August_2025
108000,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra) 03/2015 (09/2017) 08/2027 (12/2029)",,81242.89,108000,,,,705793.0,,Newly Added,September_2025,,,,,,,,,,,2025-09-01,,108000_September_2025
108000,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra) 03/2015 (09/2017) 08/2027 (12/2029)",,82967.89,108000,,,,705793.0,,Newly Added,October_2025,,,,,,,,,,,2025-10-01,,108000_October_2025
108000,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra) 03/2015 (09/2017) 08/2027 (12/2029)",,84199.89,108000,,,,705793.0,,Newly Added,November_2025,,,,,,,,,,,2025-11-01,,108000_November_2025
108000,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra) 03/2015 (09/2017) 08/2027 (12/2029)",,85337.89,108000,,,,705793.0,,Newly Added,December_2025,,,,,,,,,,,2025-12-01,,108000_December_2025
108000,"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra) 03/2015 (09/2017) 08/2027 (12/2029)",,86792.89,108000,,,,,705793.0,Newly Added,January_2026,,,,,,,,,,,2026-01-01,,108000_January_2026
108000,"(N22000463) Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra) 03/2015 (09/2017) 08/2027 (12/2029)",,87754.89,108000,,,,,705793.0,Newly Added,February_2026,,,,,,,,,,,2026-02-01,,108000_February_2026
108000,"(N22000463) Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra) 03/2015 (09/2017) 08/2027 (12/2029)",,90395.89,108000,,,,,705793.0,Newly Added,March_2026,,,,,,,,,,,2026-03-01,,108000_March_2026
108000,"(N22000463) (1748) Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra) 03/2015 (09/2017) 08/2027 (12/2029)",,90501.89,108000,,,,,705793.0,Newly Added,April2026,,,,,,,,,,,2026-04-01,,108000_April2026
108000,"(N22000463) (1748) Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra) 03/2015 (09/2017) 08/2027 (12/2029)",,90966.89,108000,,,,,705793.0,Newly Added,May2026,,,,,,,,,,,2026-05-01,,108000_May2026
108000,"(-) (-) Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra) 03/2015 (09/2017) 08/2027 (12/2029)",,90966.89,108000,,,,,705793.0,Newly Added,June_2026,,,,,,,,,,,2026-06-01,,108000_June_2026
108841,"Amended BharatNet Program - KTK, GOA, PY",,PAN India,Department of Telecommunications,2025-06-01,2028-06-01,,3742.0,,Newly Added,June_2026,,,0.05,2.0,,,,,,36.0,2026-06-01,0.0005344735435595938,108841_June_2026
108841,"Amended BharatNet Program - KTK, GOA, PY",,(-) (-),Department of Telecommunications,2023-08-01,,,,3742.0,Newly Added,July_2026,435.31,,100.0,3742.0,,,,,,,2026-07-01,,108841_July_2026
124005,"Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh) 01/2012 03/2022 12/2025",,124623,51101,,,,705453.0,,Ongoing,July_2025,,,,,,,,,,,2025-07-01,,124005_July_2025
124005,"Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh) 02/2008 (01/2012) 03/2022 (12/2025)",,124623,51101,,,,705453.0,,Ongoing,August_2025,,,,,,,,,,,2025-08-01,,124005_August_2025
124005,"Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh) 02/2008 (01/2012) 03/2022 (12/2025)",,124623,51101,,,,705453.0,,Newly Added,September_2025,,,,,,,,,,,2025-09-01,,124005_September_2025
124005,"Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh) 02/2008 (01/2012) 03/2022 (12/2025)",,124623,51101,,,,705453.0,,Newly Added,October_2025,,,,,,,,,,,2025-10-01,,124005_October_2025
124005,"Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh) 02/2008 (01/2012) 03/2022 (12/2025)",,124623,51101,,,,705453.0,,Newly Added,November_2025,,,,,,,,,,,2025-11-01,,124005_November_2025
124005,"Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh) 02/2008 (01/2012) 03/2022 (12/2025)",,124623,51101,,,,705453.0,,Newly Added,December_2025,,,,,,,,,,,2025-12-01,,124005_December_2025
124005,"Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh) 02/2008 (01/2012) 03/2022 (12/2025)",,124623,51101,,,,705453.0,,Newly Added,January_2026,,,,,,,,,,,2026-01-01,,124005_January_2026
124005,"(N22000464) Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh) 02/2008 (01/2012) 03/2022 (12/2025)",,124623,51101,,,,705453.0,,Newly Added,February_2026,,,,,,,,,,,2026-02-01,,124005_February_2026
124005,"(N22000464) Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh) 02/2008 (01/2012) 03/2022 (12/2025)",,124623,51101,,,,,,Newly Added,March_2026,,,,,,,,,,,2026-03-01,,124005_March_2026
124005,"(N22000464) (961) Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh) 02/2008 (01/2012) 03/2022 (12/2025)",,124623,51101,,,,,,Newly Added,April2026,,,,,,,,,,,2026-04-01,,124005_April2026
124005,"(N22000464) (961) Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh) 02/2008 (01/2012) 03/2022 (12/2025)",,124623,51101,,,,705453.0,,Newly Added,May2026,,,,,,,,,,,2026-05-01,,124005_May2026
124005,"(-) (-) Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh) 02/2008 (01/2012) 03/2022 (12/2025)",,124623,51101,,,,705453.0,,Newly Added,June_2026,,,,,,,,,,,2026-06-01,,124005_June_2026
124199,Amended BharatNet Program - HR,,PAN India,Department of Telecommunications,2026-03-01,2029-03-01,,837.0,,Newly Added,July_2026,,,1.79,15.0,,,,,,36.0,2026-07-01,0.017921146953405017,124199_July_2026
171218,Amended BharatNet Program - PB,,PAN India,Department of Telecommunications,2025-02-01,2028-02-01,,1245.0,,Newly Added,July_2026,,,1.29,16.0,,,,,,36.0,2026-07-01,0.01285140562248996,171218_July_2026
175860,"Amended BharatNet Program - MP, DD and DNH",,PAN India,Department of Telecommunications,2025-05-01,2028-05-01,,4943.0,,Newly Added,July_2026,,,0.34,17.0,,,,,,36.0,2026-07-01,0.003439206959336435,175860_July_2026
188000,"Multi-States (Meghalaya, Assam, Mizoram, Tripura, Manipur, Nagaland, Sikkim, Arunachal Pradesh) 07/2017 (10/2011) 08/2023 (03/2027)",,48809.69,61109,,,,,,Newly Added,June_2026,,,,217.0,,,,,,,2026-06-01,,188000_June_2026
210914,Amended BharatNet Program - WB & ANI,,PAN India,Department of Telecommunications,2025-02-01,2028-02-01,,1674.0,,Newly Added,July_2026,,,1.08,18.0,,,,,,36.0,2026-07-01,0.010752688172043012,210914_July_2026
222253,Amended BharatNet Program - UP (East),,Uttar Pradesh,Department of Telecommunications,2025-02-01,2028-02-01,,5008.0,,Newly Added,June_2026,,,0.06,3.0,,,,,,36.0,2026-06-01,0.0005990415335463259,222253_June_2026
