project_id,project_name,sector,state,implementing_agency,planned_start_date,planned_completion_date,actual_start_date,approved_cost,revised_cost,current_status,report_month,physical_progress,planned_progress,financial_progress,expenditure,monthly_expenditure,contractor_status,milestones_completed,milestones_total,milestones_overdue,cost_overrun_cr,cost_overrun_pct
612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Unknown,Andhra Pradesh,Airport Authority of India [AAI],01/2024,01/2026,,265.91,265.91,Ongoing,August_2025,34,,18.83,50.06,,,,,,0.0,0.0
701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Unknown,Andhra Pradesh,Airport Authority of India [AAI],09/2020,09/2022,,611.8,611.8,Ongoing,August_2025,79,,77.36,473.27,,,,,,0.0,0.0
701121,Construction of New  Domestic Terminal Building  at Rajahmundry Airport.,Unknown,Andhra Pradesh,Airport Authority of India [AAI],08/2023,08/2025,,347.15,347.15,Ongoing,August_2025,51,,26.09,90.56,,,,,,0.0,0.0
706724,Guwahati Airport New Integrated Terminal Building Construction Project,Unknown,Assam,Adani Airport Holdings Limited,03/2018,03/2025,,1712.0,1712.0,Ongoing,August_2025,91,,136.42,2335.44,,,,,,0.0,0.0
612183,Development of New Civil Enclave at Bihta,Unknown,Bihar,Airport Authority of India [AAI],03/2025,09/2027,,1413.0,1413.0,Ongoing,August_2025,1,,0.0,0,,,,,,0.0,0.0
612194,Development of New Civil Enclave and associated works at Darbhanga Airport,Unknown,Bihar,Airport Authority of India [AAI],07/2024,01/2026,,911.66,911.66,Ongoing,August_2025,26,,17.57,160.2,,,,,,0.0,0.0
701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Unknown,Bihar,Airport Authority of India [AAI],10/2018,07/2023,,1216.9,1216.9,Ongoing,August_2025,94,,90.11,1096.51,,,,,,0.0,0.0
701105,Goa Airport Terminal Building Extension Project,Unknown,Goa,Airport Authority of India [AAI],12/2019,12/2021,,255.69,255.69,Ongoing,August_2025,90,,50.84,130,,,,,,0.0,0.0
701126,"Development of Dholera International Greenfield Airport , Gujarat",Unknown,Gujarat,Airport Authority of India [AAI],07/2022,06/2026,,1305.0,1551.0,Ongoing,August_2025,64,,86.96,1348.78,,,,,,246.0,18.850574712643677
611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Unknown,Jammu and Kashmir,Airport Authority of India [AAI],07/2023,06/2026,,861.37,861.37,Ongoing,August_2025,35,,20.63,177.69,,,,,,0.0,0.0
612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Unknown,Karnataka,Airport Authority of India [AAI],01/2024,01/2026,,320.47,320.47,Ongoing,August_2025,38,,19.28,61.79,,,,,,0.0,0.0
612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Unknown,Karnataka,Airport Authority of India [AAI],02/2024,01/2026,,322.45,322.45,Ongoing,August_2025,52,,37.75,121.72,,,,,,0.0,0.0
612789,"Development of additional RESA on either end on Runway 10-28  at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Unknown,Kerala,Airport Authority of India [AAI],02/2024,09/2025,,484.57,484.57,Ongoing,August_2025,21,,17.32,83.95,,,,,,0.0,0.0
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Unknown,Ladakh,Airport Authority of India [AAI],09/2018,09/2021,,480.0,640.0,Ongoing,August_2025,71,,67.94,434.79,,,,,,160.0,33.33333333333333
706718,C/o NITB Imphal Airport,Unknown,Manipur,Airport Authority of India [AAI],07/2022,07/2024,,499.0,499.0,Ongoing,August_2025,41,,30.95,154.43,,,,,,0.0,0.0
611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Unknown,"Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",Airport Authority of India [AAI],10/2022,09/2025,,500.48,500.48,Ongoing,August_2025,75,,66.39,332.26,,,,,,0.0,0.0
701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Unknown,Rajasthan,Airport Authority of India [AAI],04/2023,11/2024,,480.0,480.0,Ongoing,August_2025,84,,58.69,281.72,,,,,,0.0,0.0
701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Unknown,Rajasthan,Airport Authority of India [AAI],11/2022,03/2026,,887.0,887.0,Ongoing,August_2025,49,,39.78,352.82,,,,,,0.0,0.0
612793,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Unknown,Sikkim,Airport Authority of India [AAI],12/2023,02/2026,,323.26,323.26,Ongoing,August_2025,12,,9.19,29.7,,,,,,0.0,0.0
611602,"Modernization of Chennai Airport, Phase II, Part 2",Unknown,Tamil Nadu,Airport Authority of India [AAI],06/2023,07/2025,,1207.0,1207.0,Ongoing,August_2025,22,,12.36,149.21,,,,,,0.0,0.0
612063,"Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion, and associated works at Prayagraj Airport- On Design & Build Basis.",Unknown,Uttar Pradesh,Airport Authority of India [AAI],08/2023,11/2024,,219.18,274.38,Ongoing,August_2025,100,,78.43,215.19,,,,,,55.19999999999999,25.184779633178206
701091,Lucknow Airport-Terminal 3- Phase 1 & Other Associated Works,Unknown,Uttar Pradesh,Adani Airport Holdings Limited,09/2018,03/2026,,3100.0,3100.0,Ongoing,August_2025,100,,516.92,16024.42,,,,,,0.0,0.0
