sector,planned_duration_months,physical_progress,planned_progress,financial_progress,expenditure_ratio,milestones_completed,milestones_total,milestones_overdue
0,85.0,95.0,0,89.78,1.5334675462578138,0,0,0
0,30.0,25.0,0,81.69,0.7585700000000001,0,0,0
0,30.0,0.0,0,6.03,0.0602714687719281,0,0,0
0,71.0,100.0,0,0.0,0.0,0,0,0
0,24.0,11.28,0,14.64,0.1433371752814965,0,0,0
0,36.0,85.87,0,66.05,0.6604943777056649,0,0,0
0,24.0,37.27,0,45.23,0.352343050442742,0,0,0
0,115.0,81.0,0,61.72,0.6171500710032276,0,0,0
0,34.0,100.0,0,72.54,0.7254166666666666,0,0,0
0,18.0,91.39,0,82.96,0.8295685178839717,0,0,0
0,24.0,82.76,0,112.04,1.2696382035401224,0,0,0
0,18.0,17.86,0,48.44,0.4843606911007549,0,0,0
0,6.0,95.86,0,0.0,0.0,0,0,0
0,57.0,0.0,0,0.01,9.523809523809524e-05,0,0,0
0,30.0,75.72,0,76.76,0.7558428724367949,0,0,0
0,312.0,55.44,0,17.45,0.1745003123048095,0,0,0
0,24.0,99.7,0,62.49,0.6248645720476707,0,0,0
0,61.0,14.0,0,17.1,0.5839582328783067,0,0,0
0,29.0,30.0,0,33.72,0.4858917589175891,0,0,0
0,29.0,100.0,0,39.67,0.3906910499052176,0,0,0
0,18.0,59.5,0,27.83,0.2074019153537226,0,0,0
0,35.0,84.0,0,75.86,0.670777020522891,0,0,0
0,30.0,44.34,0,60.24,0.5842520161512141,0,0,0
0,30.0,42.8,0,68.81,0.498063403202708,0,0,0
0,24.0,100.0,0,95.05,0.9554706713411124,0,0,0
0,30.0,27.9,0,35.4,0.3539703034215622,0,0,0
0,512.0,84.0,0,71.99,1.4540485629335975,0,0,0
0,48.0,41.2,0,41.74,0.4173628675813086,0,0,0
0,24.0,94.14,0,49.1,0.6799069011703225,0,0,0
0,24.0,97.92,0,85.05,1.271565631744268,0,0,0
0,59.0,62.0,0,66.28,0.6627638428774255,0,0,0
0,19.0,74.55,0,48.89,0.488857694332339,0,0,0
0,18.0,56.2,0,35.65,0.3564545127651923,0,0,0
0,60.0,81.9,0,77.64,0.776369514289137,0,0,0
0,52.0,81.0,0,46.14,0.4613630880579011,0,0,0
0,79.0,100.0,0,98.26,0.0,0,0,0
0,85.0,97.0,0,113.81,1.1380509432322004,0,0,0
0,24.0,100.0,0,92.2,0.9342341947089018,0,0,0
0,24.0,100.0,0,0.0,0.0,0,0,0
0,24.0,47.2,0,27.67,0.2350510654604222,0,0,0
0,43.0,100.0,0,124.3,0.0,0,0,0
0,122.0,92.0,0,145.6,1.4560020490242906,0,0,0
0,95.0,86.0,0,72.17,0.9996090279011908,0,0,0
0,23.0,100.0,0,0.0,0.0,0,0,0
0,41.0,34.0,0,8.77,0.0876614139958622,0,0,0
0,24.0,89.72,0,76.85,0.767970199132341,0,0,0
0,34.0,21.0,0,13.85,0.1385243670024503,0,0,0
0,24.0,64.2,0,32.28,0.2772676285150659,0,0,0
0,279.0,60.0,0,63.24,8.176270941652225,0,0,0
0,70.0,1.0,0,2.13,0.0212967914438502,0,0,0
0,46.0,91.0,0,94.39,0.9439159122295536,0,0,0
0,68.0,95.64,0,88.48,1.2243456007799172,0,0,0
0,118.0,27.74,0,6.59,0.0659395194022126,0,0,0
0,24.0,40.11,0,34.4,0.1937692749986932,0,0,0
0,100.0,95.0,0,89.02,0.8901683724001321,0,0,0
0,18.0,99.52,0,88.57,0.8856612362242454,0,0,0
0,42.0,5.0,0,10.15,0.1015283076274954,0,0,0
0,57.0,100.0,0,91.0,0.0,0,0,0
0,24.0,98.08,0,1.12,0.011232516144829,0,0,0
0,24.0,98.39,0,81.07,0.8107013301088271,0,0,0
0,122.0,72.02,0,110.51,2.6494913793103447,0,0,0
0,24.0,98.0,0,0.0,0.0,0,0,0
0,36.0,0.0,0,0.01,5.774783445620789e-05,0,0,0
0,62.0,52.13,0,45.58,1.093910171438671,0,0,0
0,61.0,52.0,0,0.0,0.0,0,0,0
0,42.0,100.0,0,21.31,0.213108010450831,0,0,0
0,44.0,0.0,0,0.0,0.0,0,0,0
0,24.0,48.73,0,40.63,0.4062530995492566,0,0,0
0,24.0,68.0,0,77.52,0.5614572666404096,0,0,0
0,15.0,0.0,0,0.06,0.0005534253073486,0,0,0
0,18.0,100.0,0,57.09,0.5709216101694915,0,0,0
0,132.0,2.04,0,3.19,0.0319691312642054,0,0,0
0,28.0,0.5,0,0.46,0.0045794392523364,0,0,0
0,30.0,100.0,0,88.13,0.1629191489361702,0,0,0
0,108.0,89.73,0,70.53,0.7053264067096451,0,0,0
0,18.0,96.0,0,41.17,0.3524642998809996,0,0,0
0,24.0,0.0,0,0.0,0.0,0,0,0
0,91.0,53.03,0,53.7,0.5369754275375007,0,0,0
0,24.0,68.9,0,53.55,0.9009220081360516,0,0,0
0,23.0,0.0,0,0.0,0.0,0,0,0
0,16.0,56.3,0,58.97,0.6206387677061452,0,0,0
0,24.0,93.0,0,82.96,0.829593183727349,0,0,0
0,79.0,96.0,0,93.38,0.9338202584911331,0,0,0
0,24.0,0.68,0,0.53,0.0053079518557687,0,0,0
0,24.0,9.32,0,2.24,0.0223603056245972,0,0,0
0,18.0,77.0,0,10.33,0.1307638969143649,0,0,0
0,24.0,100.0,0,63.53,0.6353107484747781,0,0,0
0,24.0,100.0,0,57.65,0.6229464395323479,0,0,0
0,24.0,40.71,0,33.42,0.3341994526171741,0,0,0
0,24.0,75.39,0,64.2,0.5818490153172866,0,0,0
0,33.0,43.89,0,31.0,0.31,0,0,0
0,97.0,61.04,0,68.21,0.6820951115987641,0,0,0
0,55.0,100.0,0,100.0,0.0,0,0,0
0,24.0,99.79,0,99.01,0.8594143343699097,0,0,0
0,105.0,91.0,0,76.69,0.9413694581280788,0,0,0
0,134.0,86.5,0,76.02,0.9191044776119404,0,0,0
0,24.0,88.99,0,56.92,0.5691794413310365,0,0,0
0,24.0,98.6,0,62.61,0.6260842578943285,0,0,0
0,24.0,100.0,0,92.42,0.9241576625535451,0,0,0
0,24.0,83.87,0,92.6,2.791963733772924,0,0,0
0,48.0,3.0,0,7.11,0.0710892134436037,0,0,0
0,25.0,46.0,0,27.49,0.2749378624689312,0,0,0
0,30.0,4.0,0,0.0,0.0,0,0,0
0,24.0,70.73,0,37.55,0.3745142140212368,0,0,0
0,20.0,98.7,0,89.71,1.1794338215085003,0,0,0
0,92.0,95.0,0,80.0,0.8544598169899396,0,0,0
