project_id,sector,state,implementing_agency,approved_cost,planned_duration_months,is_overrun,overrun_pct
108000,,78690.89,108000,705793.0,,0,0.0
108841,,PAN India,Department of Telecommunications,3742.0,36.0,0,0.0
124005,,124623,51101,705453.0,,0,
124199,,PAN India,Department of Telecommunications,837.0,36.0,0,0.0
171218,,PAN India,Department of Telecommunications,1245.0,36.0,0,0.0
175860,,PAN India,Department of Telecommunications,4943.0,36.0,0,0.0
188000,,48809.69,61109,,,0,
210914,,PAN India,Department of Telecommunications,1674.0,36.0,0,0.0
222253,,Uttar Pradesh,Department of Telecommunications,5008.0,36.0,0,0.0
240484,,PAN India,Department of Telecommunications,832.0,36.0,0,0.0
245986,,Rajasthan,Jaipur Metro Rail Corporation,13037.66,66.0,0,0.0
298178,,Uttar Pradesh,National Thermal Power Corporation [NTPC],38358.0,78.0,0,0.0
317725,,PAN India,Department of Telecommunications,1713.0,36.0,0,0.0
364934,,West Bengal,Steel Authority of India Limited (SAIL,999.46,41.0,0,0.0
400005,,Multi-States,Power Grid Corporation of India Limited [POWERGRID],,,0,
400006,,Odisha,South Eastern Railway [SER] - I,808.99,48.0,0,0.0
400010,,Ladakh,Airport Authority of India [AAI],640.0,49.0,0,0.0
400012,,Multi-States,Ministry of Petroleum & Natural Gas,,,0,
400013,,PAN India,Department of Telecommunications [DoT],30620.0,21.0,0,0.0
400018,,Jharkhand,ECL - CIL,859.41,79.0,0,0.0
400019,,Maharashtra,CR,1171.0,9.0,0,0.0
400022,,Multi-States,North Western Railway [NWR],,,0,
400023,,Karnataka,South Western Railway [SWR] - II,749.0,-12.0,0,0.0
400033,,Maharashtra,Western Coalfields Limited [WCL],580.61,70.0,0,0.0
400035,,Tripura,Indian Oil Corporation Limited [IOCL],656.0,0.0,0,0.0
400043,,Tamil Nadu,Ministry of Petroleum & Natural Gas,829.0,0.0,0,0.0
400045,,Odisha,East Coast Railway [ECoR] - II,168.32,-2.0,0,0.0
400047,,Odisha,East Coast Railway [ECoR] - II,210.0,30.0,0,0.0
400048,,Odisha,East Coast Railway [ECoR] - II,186.21,30.0,0,0.0
400062,,West Bengal,Damodar Valley Corporation,17673.0,52.0,0,0.0
400065,,Odisha,Steel Authority of India Limited [SAIL],1105.23,2.0,0,0.0
400073,,Jharkhand,Ministry of Coal,799.34,122.0,0,0.0
400074,,Jharkhand,Ministry of Coal,908.47,86.0,0,0.0
400077,,Tamil Nadu,Indian Oil Corporation Limited [IOCL],887.71,15.0,0,0.0
400078,,Multi-States,Ministry of Petroleum & Natural Gas,,55.0,0,
400081,,Manipur,Department of Sports & Youth Affairs,611.74,31.0,0,0.0
400087,,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],1286.67,0.0,0,0.0
400093,,Uttar Pradesh,Irrigation & Water Resources-UP,1672.7,75.0,0,0.0
400094,,Telangana,Irrigation and CAD-TG,13445.4,39.0,0,-100.0
400095,,Maharashtra,Department of water resources-MH - II,743.73,78.0,0,0.0
400096,,Madhya Pradesh,Water resource-mp,648.09,75.0,0,0.0
400097,,Gujarat,"Narmada and Water Resources, Water Supply and Kalpsar Department-GJ",6670.31,63.0,0,0.0
400100,,Andhra Pradesh,Water Resources-AP,1023.24,63.0,0,0.0
400101,,Andhra Pradesh,Water Resources-AP,697.39,87.0,0,0.0
400102,,Telangana,Irrigation and CAD-TG,949.87,60.0,0,0.0
400103,,Telangana,Irrigation and CAD-TG,5940.09,63.0,0,0.0
400104,,Bihar,Water Resources-BR,658.12,75.0,0,0.0
400105,,Maharashtra,Department of water resources-MH - II,895.81,36.0,0,0.0
400107,,Maharashtra,Department of water resources-MH - II,2407.67,48.0,0,0.0
400109,,Maharashtra,Department of water resources-MH - II,888.43,60.0,0,0.0
400111,,Chhattisgarh,Water Resources-CT,727.04,66.0,0,0.0
400112,,Maharashtra,Department of water resources-MH - II,7222.95,122.0,0,0.0
400115,,Madhya Pradesh,Water Resources-MP,893.35,67.0,0,0.0
400116,,Madhya Pradesh,Water Resources-MP,1399.7,67.0,0,0.0
400117,,Uttar Pradesh,Irrigation & Water Resources-UP,2465.68,0.0,0,0.0
400119,,Offshore,Oil and Natural Gas Corporation Limited [ONGC],3375.9,92.0,0,0.0
400120,,Andhra Pradesh,Oil and Natural Gas Corporation Limited [ONGC],34012.0,72.0,0,0.0
400121,,Karnataka,National Mineral Development Corporation Limited [NMDC],1043.63,26.0,0,0.0
400136,,Jharkhand,Ministry of Coal,2660.0,60.0,0,0.0
400138,,Jharkhand,Ministry of Coal,973.5,139.0,0,0.0
400139,,Jharkhand,Ministry of Coal,625.4,139.0,0,0.0
400141,,Odisha,National Aluminium Company Limited [NALCO],5677.4,33.0,0,0.0
400142,,Jharkhand,NLC India Limited [NLCIL],2242.9,105.0,0,0.0
400144,,Chhattisgarh,South Eastern Coalfields Limited [SECL],2310.12,99.0,0,0.0
400145,,Chhattisgarh,South Eastern Coalfields Limited [SECL],610.63,42.0,0,0.0
400147,,Chhattisgarh,South Eastern Coalfields Limited [SECL],7612.33,84.0,0,0.0
400148,,Madhya Pradesh,Ministry of Coal,869.44,72.0,0,0.0
400149,,Chhattisgarh,South Eastern Coalfields Limited [SECL],2309.8,103.0,0,0.0
400150,,Jharkhand,Ministry of Coal,7254.37,91.0,0,0.0
400151,,Jharkhand,Ministry of Coal,778.8,92.0,0,0.0
400152,,Madhya Pradesh,South Eastern Coalfields Limited [SECL],1248.93,80.0,0,0.0
400153,,Jharkhand,Ministry of Coal,1020.42,86.0,0,0.0
400154,,Jharkhand,Ministry of Coal,713.35,76.0,0,0.0
400155,,Jharkhand,Ministry of Coal,2898.28,82.0,0,0.0
400156,,Jharkhand,Ministry of Coal,5136.15,97.0,0,0.0
400158,,Maharashtra,"Department of Water Resources, River Development & GR",1629.86,22.0,0,0.0
400160,,Jharkhand,Ministry of Coal,510.85,132.0,0,0.0
400161,,Uttar Pradesh,Gas Authority of India Limited [GAIL],1299.02,19.0,0,0.0
400162,,Madhya Pradesh,Northern Coalfields Limited [NCL],998.71,48.0,0,0.0
400165,,Odisha,Mahanadi Coalfields Limited (MCL,1693.81,0.0,0,0.0
400166,,Odisha,Mahanadi Coalfields Limited (MCL,5194.95,-12.0,0,0.0
400167,,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],1162.56,0.0,0,0.0
400168,,Maharashtra,Ministry of Petroleum & Natural Gas,11256.0,6.0,0,0.0
400169,,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],860.04,7.0,0,0.0
400171,,Punjab,Hindustan Petroleum Corporation Limited [HPCL],1421.46,37.0,0,0.0
400172,,Jharkhand,Eastern Coal Fields Limited [ECL],513.99,91.0,0,0.0
400173,,West Bengal,Eastern Coal Fields Limited [ECL],888.99,64.0,0,0.0
400174,,Jharkhand,Steel Authority of India Limited [SAIL],1752.3,116.0,0,0.0
400177,,Maharashtra,Western Coalfields Limited [WCL],727.28,12.0,0,0.0
400178,,Maharashtra,Western Coalfields Limited [WCL],822.88,85.0,0,0.0
400179,,Odisha,Mahanadi Coalfields Limited (MCL,6321.73,,0,-80.21649137182385
400180,,West Bengal,Eastern Coal Fields Limited [ECL],570.11,0.0,0,0.0
400181,,West Bengal,Eastern Coal Fields Limited [ECL],502.68,127.0,0,0.0
400182,,West Bengal,ECL - CIL,535.18,106.0,0,0.0
400183,,Odisha,Mahanadi Coalfields Limited (MCL,3504.21,103.0,0,0.0
400185,,Odisha,Mahanadi Coalfields Limited (MCL,6107.87,95.0,0,0.0
400186,,West Bengal,Eastern Coal Fields Limited [ECL],749.08,0.0,0,0.0
400187,,Odisha,Mahanadi Coalfields Limited (MCL,2434.75,106.0,0,0.0
400188,,Delhi,National Buildings Construction Corporation [NBCC],32850.0,36.0,0,0.0
400192,,Jharkhand,Damodar Valley Corporation,1581.0,0.0,0,0.0
400203,,Chhattisgarh,WR,1686.22,-4.0,0,0.0
400204,,Uttar Pradesh,North Eastern Railway [NER],4939.78,0.0,0,0.0
400205,,Uttar Pradesh,North Eastern Railway [NER],1319.75,0.0,0,0.0
400220,,Chhattisgarh,Indian Railway Construction International Limited [IRCON],3438.0,90.0,0,0.0
400223,,Multi-States,Southern Railway [SR] - II,,,0,
400231,,Odisha,NLC India Limited [NLCIL],27213.0,74.0,0,0.0
400232,,Odisha,East Coast Railway [ECoR] - II,297.0,0.0,0,0.0
400234,,Multi-States,RVNL - II,8975.0,91.0,0,0.0
400235,,Jammu and,Bharat Petroleum Corporation Limited [BPCL],676.89,23.0,0,0.0
400247,,West Bengal,Eastern Railway [ER] - I,1000.0,0.0,0,0.0
400253,,Multi-States,RVNL - II,,,0,
400254,,Bihar,East Central Railway [ECR] - I,735.2,27.0,0,0.0
400259,,Uttar Pradesh,NLC India Limited [NLCIL],21780.9,59.0,0,0.0
400261,,Jharkhand,National Thermal Power Corporation [NTPC],20302.0,44.0,0,0.0
400271,,Maharashtra,Central Railway [CR] - II,3445.0,0.0,0,0.0
400273,,West Bengal,Eastern Railway [ER] - I,1542.0,83.0,0,0.0
400275,,Multi-States,Southern Railway [SR] - II,,,0,
400277,,West Bengal,RVNL - II,8964.0,3.0,0,0.0
400280,,Tamil Nadu,Southern Railways [SR] - construction,982.0,13.0,0,0.0
400291,,Chhattisgarh,East Coast Railway [ECoR] - II,1798.0,69.0,0,0.0
400298,,Andhra Pradesh,South Central Railway [SCR] - II,5200.0,10.0,0,0.0
400299,,Odisha,National Aluminium Company Limited [NALCO],1960.77,14.0,0,0.0
400301,,Multi-States,"Department of Water Resources, River Development & GR",,,0,
400312,,West Bengal,Eastern Coal Fields Limited [ECL],1210.12,107.0,0,0.0
400313,,Multi-States,Bharat Coking Coal Limited [BCCL],,,0,
400315,,West Bengal,Eastern Coal Fields Limited [ECL],5365.88,92.0,0,0.0
400321,,Madhya Pradesh,Northern Coalfields Limited [NCL],1729.68,36.0,0,0.0
400352,,Jharkhand,Ministry of Coal,764.57,127.0,0,0.0
400353,,Maharashtra,Western Coalfields Limited [WCL],711.01,77.0,0,0.0
400354,,Chhattisgarh,South Eastern Coalfields Limited [SECL],5241.4,99.0,0,0.0
400369,,Multi-States,Northern Coalfields Limited [NCL],,,0,
400382,,Maharashtra,Reliance Industries Ltd,6000.0,38.0,0,0.0
400392,,Odisha,Mahanadi Coalfields Limited (MCL,2838.86,124.0,0,0.0
400416,,Jharkhand,Ministry of Coal,1799.64,37.0,0,0.0
400424,,Chhattisgarh,South Eastern Coalfields Limited [SECL],11816.4,36.0,0,0.0
400425,,Jharkhand,BCCL - CIL,1230.27,86.0,0,0.0
400426,,Madhya Pradesh,Hindustan Copper Limited [HCL],1856.36,72.0,0,0.0
400429,,Delhi,India International Convention & Expo Centre,5401.0,63.0,0,-17.23754860211072
425828,,West Bengal,Steel Authority of India Limited (SAIL,706.51,41.0,0,0.0
437130,,PAN India,Department of Telecommunications,1621.0,36.0,0,0.0
462136,,PAN India,Department of Telecommunications,768.0,48.0,0,0.0
476006,,PAN India,Department of Telecommunications,1292.0,36.0,0,0.0
478482,,Odisha,Steel Authority of India Limited (SAIL,1064.55,30.0,0,0.0
505491,,Chhattisgarh,Steel Authority of India Limited (SAIL,268.36,24.0,0,0.0
547243,,PAN India,Department of Telecommunications,22174.56,66.0,0,0.0
589703,,Odisha,Steel Authority of India Limited (SAIL,216.02,18.0,0,0.0
601812,,(-) (-),National Industrial Corridor Development Corporation,2360.0,35.0,0,0.0
